Sample Id	NKX2-1: Putative copy-number alterations from GISTIC	OXA1L: mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2) (log2(value + 1))	Copy Number Alterations
TCGA-CN-6995-01	Shallow Deletion	1682.97	NKX2-1: Shallow Deletion
TCGA-CN-A497-01	Shallow Deletion	1931.95	NKX2-1: Shallow Deletion
TCGA-CN-A63U-01	Shallow Deletion	1335.38	NKX2-1: Shallow Deletion
TCGA-CQ-5332-01	Shallow Deletion	1296.32	NKX2-1: Shallow Deletion
TCGA-CR-5247-01	Shallow Deletion	1568.96	NKX2-1: Shallow Deletion
TCGA-CR-6470-01	Shallow Deletion	1721.84	NKX2-1: Shallow Deletion
TCGA-CR-6472-01	Shallow Deletion	1374.87	NKX2-1: Shallow Deletion
TCGA-CR-6484-01	Shallow Deletion	1892.92	NKX2-1: Shallow Deletion
TCGA-CR-7365-01	Shallow Deletion	1098.11	NKX2-1: Shallow Deletion
TCGA-CR-7367-01	Shallow Deletion	1363.41	NKX2-1: Shallow Deletion
TCGA-CR-7374-01	Shallow Deletion	2679.07	NKX2-1: Shallow Deletion
TCGA-CR-7388-01	Shallow Deletion	1424.49	NKX2-1: Shallow Deletion
TCGA-CR-7398-01	Shallow Deletion	1240.02	NKX2-1: Shallow Deletion
TCGA-CR-7399-01	Shallow Deletion	1002.84	NKX2-1: Shallow Deletion
TCGA-CV-5434-01	Shallow Deletion	2329.09	NKX2-1: Shallow Deletion
TCGA-CV-5966-01	Shallow Deletion	1362.72	NKX2-1: Shallow Deletion
TCGA-CV-6933-01	Shallow Deletion	1603.04	NKX2-1: Shallow Deletion
TCGA-CV-6935-01	Shallow Deletion	1222.13	NKX2-1: Shallow Deletion
TCGA-CV-6939-01	Shallow Deletion	1266.82	NKX2-1: Shallow Deletion
TCGA-CV-7263-01	Shallow Deletion	2273.85	NKX2-1: Shallow Deletion
TCGA-CV-7406-01	Shallow Deletion	1446.73	NKX2-1: Shallow Deletion
TCGA-CV-7413-01	Shallow Deletion	1414.58	NKX2-1: Shallow Deletion
TCGA-CV-7423-01	Shallow Deletion	741.936	NKX2-1: Shallow Deletion
TCGA-CV-7432-01	Shallow Deletion	1338.21	NKX2-1: Shallow Deletion
TCGA-CV-7435-01	Shallow Deletion	1197.32	NKX2-1: Shallow Deletion
TCGA-CV-A45Z-01	Shallow Deletion	1615.57	NKX2-1: Shallow Deletion
TCGA-CV-A460-01	Shallow Deletion	1499.76	NKX2-1: Shallow Deletion
TCGA-CV-A6JY-01	Shallow Deletion	1841.32	NKX2-1: Shallow Deletion
TCGA-CV-A6K1-01	Shallow Deletion	1180.36	NKX2-1: Shallow Deletion
TCGA-CX-A4AQ-01	Shallow Deletion	1432.59	NKX2-1: Shallow Deletion
TCGA-D6-6826-01	Shallow Deletion	1153.06	NKX2-1: Shallow Deletion
TCGA-D6-8569-01	Shallow Deletion	1064.23	NKX2-1: Shallow Deletion
TCGA-D6-A6EM-01	Shallow Deletion	1756.08	NKX2-1: Shallow Deletion
TCGA-DQ-5629-01	Shallow Deletion	1743.2	NKX2-1: Shallow Deletion
TCGA-DQ-5631-01	Shallow Deletion	1410.35	NKX2-1: Shallow Deletion
TCGA-DQ-7590-01	Shallow Deletion	3374.66	NKX2-1: Shallow Deletion
TCGA-H7-A76A-01	Shallow Deletion	1678.92	NKX2-1: Shallow Deletion
TCGA-HD-8224-01	Shallow Deletion	1294.15	NKX2-1: Shallow Deletion
TCGA-HD-A633-01	Shallow Deletion	1349.7	NKX2-1: Shallow Deletion
TCGA-MT-A7BN-01	Shallow Deletion	1913.33	NKX2-1: Shallow Deletion
TCGA-MZ-A5BI-01	Shallow Deletion	2430.03	NKX2-1: Shallow Deletion
TCGA-P3-A6T0-01	Shallow Deletion	1263.35	NKX2-1: Shallow Deletion
TCGA-QK-A8Z7-01	Shallow Deletion	1464.27	NKX2-1: Shallow Deletion
TCGA-T2-A6X0-01	Shallow Deletion	2086.75	NKX2-1: Shallow Deletion
TCGA-TN-A7HL-01	Shallow Deletion	4971.06	NKX2-1: Shallow Deletion
TCGA-UF-A71B-01	Shallow Deletion	857.265	NKX2-1: Shallow Deletion
TCGA-UF-A71D-01	Shallow Deletion	1282.33	NKX2-1: Shallow Deletion
TCGA-UF-A7JA-01	Shallow Deletion	1492.67	NKX2-1: Shallow Deletion
TCGA-KL-8344-01	Shallow Deletion	1475.17	NKX2-1: Shallow Deletion
TCGA-KN-8427-01	Shallow Deletion	3756.75	NKX2-1: Shallow Deletion
TCGA-A3-3306-01	Shallow Deletion	2079.71	NKX2-1: Shallow Deletion
TCGA-A3-3311-01	Shallow Deletion	1827.91	NKX2-1: Shallow Deletion
TCGA-A3-3316-01	Shallow Deletion	2323.13	NKX2-1: Shallow Deletion
TCGA-A3-3317-01	Shallow Deletion	1788.72	NKX2-1: Shallow Deletion
TCGA-A3-3319-01	Shallow Deletion	1650.16	NKX2-1: Shallow Deletion
TCGA-A3-3320-01	Shallow Deletion	2076.26	NKX2-1: Shallow Deletion
TCGA-A3-3324-01	Shallow Deletion	1806.71	NKX2-1: Shallow Deletion
TCGA-A3-3335-01	Shallow Deletion	2525.57	NKX2-1: Shallow Deletion
TCGA-A3-3346-01	Shallow Deletion	1540.76	NKX2-1: Shallow Deletion
TCGA-A3-3347-01	Shallow Deletion	1953.23	NKX2-1: Shallow Deletion
TCGA-A3-3351-01	Shallow Deletion	1618.86	NKX2-1: Shallow Deletion
TCGA-A3-3378-01	Shallow Deletion	1520.88	NKX2-1: Shallow Deletion
TCGA-A3-3382-01	Shallow Deletion	2345.47	NKX2-1: Shallow Deletion
TCGA-A3-3387-01	Shallow Deletion	1664.06	NKX2-1: Shallow Deletion
TCGA-A3-A6NI-01	Shallow Deletion	1631.18	NKX2-1: Shallow Deletion
TCGA-A3-A8OU-01	Shallow Deletion	1931.33	NKX2-1: Shallow Deletion
TCGA-AK-3426-01	Shallow Deletion	2483.07	NKX2-1: Shallow Deletion
TCGA-AK-3427-01	Shallow Deletion	2347.75	NKX2-1: Shallow Deletion
TCGA-AK-3429-01	Shallow Deletion	1622.8	NKX2-1: Shallow Deletion
TCGA-AK-3436-01	Shallow Deletion	3945.34	NKX2-1: Shallow Deletion
TCGA-AK-3450-01	Shallow Deletion	1364.55	NKX2-1: Shallow Deletion
TCGA-AK-3451-01	Shallow Deletion	1576.26	NKX2-1: Shallow Deletion
TCGA-AK-3454-01	Shallow Deletion	2839.47	NKX2-1: Shallow Deletion
TCGA-AK-3455-01	Shallow Deletion	1999.07	NKX2-1: Shallow Deletion
TCGA-AK-3458-01	Shallow Deletion	3176.83	NKX2-1: Shallow Deletion
TCGA-B0-4691-01	Shallow Deletion	2065	NKX2-1: Shallow Deletion
TCGA-B0-4694-01	Shallow Deletion	3898.11	NKX2-1: Shallow Deletion
TCGA-B0-4698-01	Shallow Deletion	1905.48	NKX2-1: Shallow Deletion
TCGA-B0-4703-01	Shallow Deletion	1759.44	NKX2-1: Shallow Deletion
TCGA-B0-4707-01	Shallow Deletion	2618.53	NKX2-1: Shallow Deletion
TCGA-B0-4712-01	Shallow Deletion	2427.12	NKX2-1: Shallow Deletion
TCGA-B0-4713-01	Shallow Deletion	3412.06	NKX2-1: Shallow Deletion
TCGA-B0-4814-01	Shallow Deletion	2585.15	NKX2-1: Shallow Deletion
TCGA-B0-4815-01	Shallow Deletion	2800.6	NKX2-1: Shallow Deletion
TCGA-B0-4817-01	Shallow Deletion	1330.24	NKX2-1: Shallow Deletion
TCGA-B0-4819-01	Shallow Deletion	2206.88	NKX2-1: Shallow Deletion
TCGA-B0-4828-01	Shallow Deletion	2780.95	NKX2-1: Shallow Deletion
TCGA-B0-4833-01	Shallow Deletion	2190.66	NKX2-1: Shallow Deletion
TCGA-B0-4836-01	Shallow Deletion	2037.29	NKX2-1: Shallow Deletion
TCGA-B0-4838-01	Shallow Deletion	1891.96	NKX2-1: Shallow Deletion
TCGA-B0-4839-01	Shallow Deletion	3114.12	NKX2-1: Shallow Deletion
TCGA-B0-4847-01	Shallow Deletion	2324.6	NKX2-1: Shallow Deletion
TCGA-B0-4848-01	Shallow Deletion	1988.64	NKX2-1: Shallow Deletion
TCGA-B0-4852-01	Shallow Deletion	2597.24	NKX2-1: Shallow Deletion
TCGA-B0-4945-01	Shallow Deletion	1444.12	NKX2-1: Shallow Deletion
TCGA-B0-5075-01	Shallow Deletion	1869.31	NKX2-1: Shallow Deletion
TCGA-B0-5081-01	Shallow Deletion	2107.88	NKX2-1: Shallow Deletion
TCGA-B0-5084-01	Shallow Deletion	3053.75	NKX2-1: Shallow Deletion
TCGA-B0-5092-01	Shallow Deletion	2377.99	NKX2-1: Shallow Deletion
TCGA-B0-5094-01	Shallow Deletion	1662.44	NKX2-1: Shallow Deletion
TCGA-B0-5096-01	Shallow Deletion	1221.97	NKX2-1: Shallow Deletion
TCGA-B0-5097-01	Shallow Deletion	1797.86	NKX2-1: Shallow Deletion
TCGA-B0-5106-01	Shallow Deletion	2110.45	NKX2-1: Shallow Deletion
TCGA-B0-5107-01	Shallow Deletion	2533.99	NKX2-1: Shallow Deletion
TCGA-B0-5113-01	Shallow Deletion	2077.13	NKX2-1: Shallow Deletion
TCGA-B0-5400-01	Shallow Deletion	2002.98	NKX2-1: Shallow Deletion
TCGA-B0-5692-01	Shallow Deletion	1794.98	NKX2-1: Shallow Deletion
TCGA-B0-5694-01	Shallow Deletion	2367.96	NKX2-1: Shallow Deletion
TCGA-B0-5697-01	Shallow Deletion	2120.42	NKX2-1: Shallow Deletion
TCGA-B0-5698-01	Shallow Deletion	1622.92	NKX2-1: Shallow Deletion
TCGA-B0-5701-01	Shallow Deletion	1436.5	NKX2-1: Shallow Deletion
TCGA-B0-5709-01	Shallow Deletion	1708.33	NKX2-1: Shallow Deletion
TCGA-B0-5710-01	Shallow Deletion	1397.44	NKX2-1: Shallow Deletion
TCGA-B0-5711-01	Shallow Deletion	1682.44	NKX2-1: Shallow Deletion
TCGA-B0-5712-01	Shallow Deletion	1714.81	NKX2-1: Shallow Deletion
TCGA-B2-4098-01	Shallow Deletion	2000	NKX2-1: Shallow Deletion
TCGA-B2-4102-01	Shallow Deletion	1507.3	NKX2-1: Shallow Deletion
TCGA-B2-5633-01	Shallow Deletion	1247.09	NKX2-1: Shallow Deletion
TCGA-B2-5635-01	Shallow Deletion	1700.08	NKX2-1: Shallow Deletion
TCGA-B2-5639-01	Shallow Deletion	1741.77	NKX2-1: Shallow Deletion
TCGA-B2-5641-01	Shallow Deletion	2084.25	NKX2-1: Shallow Deletion
TCGA-B4-5832-01	Shallow Deletion	757.895	NKX2-1: Shallow Deletion
TCGA-B4-5836-01	Shallow Deletion	1548.22	NKX2-1: Shallow Deletion
TCGA-B4-5838-01	Shallow Deletion	2465.26	NKX2-1: Shallow Deletion
TCGA-B4-5843-01	Shallow Deletion	1634.57	NKX2-1: Shallow Deletion
TCGA-B8-4143-01	Shallow Deletion	1925.06	NKX2-1: Shallow Deletion
TCGA-B8-4619-01	Shallow Deletion	1634.03	NKX2-1: Shallow Deletion
TCGA-B8-5158-01	Shallow Deletion	2159.87	NKX2-1: Shallow Deletion
TCGA-B8-5162-01	Shallow Deletion	2253.9	NKX2-1: Shallow Deletion
TCGA-B8-5164-01	Shallow Deletion	1578.48	NKX2-1: Shallow Deletion
TCGA-B8-5550-01	Shallow Deletion	1999.49	NKX2-1: Shallow Deletion
TCGA-B8-5551-01	Shallow Deletion	2079.56	NKX2-1: Shallow Deletion
TCGA-B8-5553-01	Shallow Deletion	1471.23	NKX2-1: Shallow Deletion
TCGA-B8-A54D-01	Shallow Deletion	2013.85	NKX2-1: Shallow Deletion
TCGA-B8-A54G-01	Shallow Deletion	3523.4	NKX2-1: Shallow Deletion
TCGA-B8-A54I-01	Shallow Deletion	1869.86	NKX2-1: Shallow Deletion
TCGA-BP-4163-01	Shallow Deletion	1820.05	NKX2-1: Shallow Deletion
TCGA-BP-4164-01	Shallow Deletion	2694.58	NKX2-1: Shallow Deletion
TCGA-BP-4167-01	Shallow Deletion	2765.8	NKX2-1: Shallow Deletion
TCGA-BP-4173-01	Shallow Deletion	2271.46	NKX2-1: Shallow Deletion
TCGA-BP-4174-01	Shallow Deletion	1552.02	NKX2-1: Shallow Deletion
TCGA-BP-4176-01	Shallow Deletion	2479.53	NKX2-1: Shallow Deletion
TCGA-BP-4343-01	Shallow Deletion	2724.63	NKX2-1: Shallow Deletion
TCGA-BP-4346-01	Shallow Deletion	2453.68	NKX2-1: Shallow Deletion
TCGA-BP-4347-01	Shallow Deletion	1865.64	NKX2-1: Shallow Deletion
TCGA-BP-4352-01	Shallow Deletion	1699.91	NKX2-1: Shallow Deletion
TCGA-BP-4354-01	Shallow Deletion	1726.47	NKX2-1: Shallow Deletion
TCGA-BP-4761-01	Shallow Deletion	2243.62	NKX2-1: Shallow Deletion
TCGA-BP-4763-01	Shallow Deletion	1865.36	NKX2-1: Shallow Deletion
TCGA-BP-4768-01	Shallow Deletion	1829.7	NKX2-1: Shallow Deletion
TCGA-BP-4771-01	Shallow Deletion	2309.41	NKX2-1: Shallow Deletion
TCGA-BP-4777-01	Shallow Deletion	2516.54	NKX2-1: Shallow Deletion
TCGA-BP-4781-01	Shallow Deletion	2349.16	NKX2-1: Shallow Deletion
TCGA-BP-4787-01	Shallow Deletion	1712.57	NKX2-1: Shallow Deletion
TCGA-BP-4797-01	Shallow Deletion	1875.66	NKX2-1: Shallow Deletion
TCGA-BP-4798-01	Shallow Deletion	2154.41	NKX2-1: Shallow Deletion
TCGA-BP-4803-01	Shallow Deletion	2636.98	NKX2-1: Shallow Deletion
TCGA-BP-4959-01	Shallow Deletion	2496.04	NKX2-1: Shallow Deletion
TCGA-BP-4962-01	Shallow Deletion	2830.84	NKX2-1: Shallow Deletion
TCGA-BP-4965-01	Shallow Deletion	1392.02	NKX2-1: Shallow Deletion
TCGA-BP-4971-01	Shallow Deletion	2133.95	NKX2-1: Shallow Deletion
TCGA-BP-4973-01	Shallow Deletion	2264.67	NKX2-1: Shallow Deletion
TCGA-BP-4977-01	Shallow Deletion	2024.83	NKX2-1: Shallow Deletion
TCGA-BP-4983-01	Shallow Deletion	1793.1	NKX2-1: Shallow Deletion
TCGA-BP-4989-01	Shallow Deletion	2120.13	NKX2-1: Shallow Deletion
TCGA-BP-4992-01	Shallow Deletion	2494.98	NKX2-1: Shallow Deletion
TCGA-BP-5000-01	Shallow Deletion	2583.26	NKX2-1: Shallow Deletion
TCGA-BP-5004-01	Shallow Deletion	2910.19	NKX2-1: Shallow Deletion
TCGA-BP-5169-01	Shallow Deletion	3087.61	NKX2-1: Shallow Deletion
TCGA-BP-5170-01	Shallow Deletion	2545.89	NKX2-1: Shallow Deletion
TCGA-BP-5173-01	Shallow Deletion	2723.81	NKX2-1: Shallow Deletion
TCGA-BP-5174-01	Shallow Deletion	2162.79	NKX2-1: Shallow Deletion
TCGA-BP-5175-01	Shallow Deletion	3188.81	NKX2-1: Shallow Deletion
TCGA-BP-5178-01	Shallow Deletion	3518	NKX2-1: Shallow Deletion
TCGA-BP-5180-01	Shallow Deletion	4945.35	NKX2-1: Shallow Deletion
TCGA-BP-5183-01	Shallow Deletion	2125.59	NKX2-1: Shallow Deletion
TCGA-BP-5185-01	Shallow Deletion	3651.3	NKX2-1: Shallow Deletion
TCGA-BP-5189-01	Shallow Deletion	1675.84	NKX2-1: Shallow Deletion
TCGA-BP-5190-01	Shallow Deletion	2075.12	NKX2-1: Shallow Deletion
TCGA-BP-5191-01	Shallow Deletion	3320.34	NKX2-1: Shallow Deletion
TCGA-BP-5196-01	Shallow Deletion	2078.13	NKX2-1: Shallow Deletion
TCGA-BP-5198-01	Shallow Deletion	2264.44	NKX2-1: Shallow Deletion
TCGA-BP-5201-01	Shallow Deletion	2653.59	NKX2-1: Shallow Deletion
TCGA-CJ-4636-01	Shallow Deletion	2322.8	NKX2-1: Shallow Deletion
TCGA-CJ-4637-01	Shallow Deletion	2079.27	NKX2-1: Shallow Deletion
TCGA-CJ-4638-01	Shallow Deletion	2098.26	NKX2-1: Shallow Deletion
TCGA-CJ-4640-01	Shallow Deletion	1955.05	NKX2-1: Shallow Deletion
TCGA-CJ-4641-01	Shallow Deletion	2078.61	NKX2-1: Shallow Deletion
TCGA-CJ-4644-01	Shallow Deletion	2163.53	NKX2-1: Shallow Deletion
TCGA-CJ-4868-01	Shallow Deletion	2020.14	NKX2-1: Shallow Deletion
TCGA-CJ-4869-01	Shallow Deletion	2459.19	NKX2-1: Shallow Deletion
TCGA-CJ-4871-01	Shallow Deletion	1866.9	NKX2-1: Shallow Deletion
TCGA-CJ-4873-01	Shallow Deletion	3201.2	NKX2-1: Shallow Deletion
TCGA-CJ-4874-01	Shallow Deletion	2074.75	NKX2-1: Shallow Deletion
TCGA-CJ-4875-01	Shallow Deletion	2128.32	NKX2-1: Shallow Deletion
TCGA-CJ-4876-01	Shallow Deletion	1600.65	NKX2-1: Shallow Deletion
TCGA-CJ-4881-01	Shallow Deletion	1828.82	NKX2-1: Shallow Deletion
TCGA-CJ-4884-01	Shallow Deletion	2011.72	NKX2-1: Shallow Deletion
TCGA-CJ-4888-01	Shallow Deletion	2719.56	NKX2-1: Shallow Deletion
TCGA-CJ-4891-01	Shallow Deletion	3416.86	NKX2-1: Shallow Deletion
TCGA-CJ-4893-01	Shallow Deletion	1591.59	NKX2-1: Shallow Deletion
TCGA-CJ-4894-01	Shallow Deletion	1699.71	NKX2-1: Shallow Deletion
TCGA-CJ-4897-01	Shallow Deletion	2851.08	NKX2-1: Shallow Deletion
TCGA-CJ-4903-01	Shallow Deletion	2700.89	NKX2-1: Shallow Deletion
TCGA-CJ-4907-01	Shallow Deletion	2150.27	NKX2-1: Shallow Deletion
TCGA-CJ-4908-01	Shallow Deletion	2316.76	NKX2-1: Shallow Deletion
TCGA-CJ-4916-01	Shallow Deletion	2081.36	NKX2-1: Shallow Deletion
TCGA-CJ-4920-01	Shallow Deletion	2203.25	NKX2-1: Shallow Deletion
TCGA-CJ-4923-01	Shallow Deletion	2214.57	NKX2-1: Shallow Deletion
TCGA-CJ-5671-01	Shallow Deletion	2092.29	NKX2-1: Shallow Deletion
TCGA-CJ-5672-01	Shallow Deletion	1957.82	NKX2-1: Shallow Deletion
TCGA-CJ-5675-01	Shallow Deletion	2166.08	NKX2-1: Shallow Deletion
TCGA-CJ-5676-01	Shallow Deletion	2727.96	NKX2-1: Shallow Deletion
TCGA-CJ-5677-01	Shallow Deletion	1828.56	NKX2-1: Shallow Deletion
TCGA-CJ-5678-01	Shallow Deletion	2250	NKX2-1: Shallow Deletion
TCGA-CJ-5679-01	Shallow Deletion	2683.97	NKX2-1: Shallow Deletion
TCGA-CJ-5680-01	Shallow Deletion	1737.95	NKX2-1: Shallow Deletion
TCGA-CJ-5682-01	Shallow Deletion	2064.65	NKX2-1: Shallow Deletion
TCGA-CJ-5686-01	Shallow Deletion	1481.58	NKX2-1: Shallow Deletion
TCGA-CJ-5689-01	Shallow Deletion	3107.17	NKX2-1: Shallow Deletion
TCGA-CJ-6030-01	Shallow Deletion	2309.04	NKX2-1: Shallow Deletion
TCGA-CJ-6033-01	Shallow Deletion	1784.23	NKX2-1: Shallow Deletion
TCGA-CW-5580-01	Shallow Deletion	1743.63	NKX2-1: Shallow Deletion
TCGA-CW-5584-01	Shallow Deletion	1794.56	NKX2-1: Shallow Deletion
TCGA-CW-5587-01	Shallow Deletion	1546.43	NKX2-1: Shallow Deletion
TCGA-CW-5588-01	Shallow Deletion	1910.67	NKX2-1: Shallow Deletion
TCGA-CW-6087-01	Shallow Deletion	1703.16	NKX2-1: Shallow Deletion
TCGA-CW-6090-01	Shallow Deletion	2590.75	NKX2-1: Shallow Deletion
TCGA-CW-6097-01	Shallow Deletion	1879.13	NKX2-1: Shallow Deletion
TCGA-CZ-4854-01	Shallow Deletion	2437.34	NKX2-1: Shallow Deletion
TCGA-CZ-4858-01	Shallow Deletion	1406.07	NKX2-1: Shallow Deletion
TCGA-CZ-4860-01	Shallow Deletion	4078.59	NKX2-1: Shallow Deletion
TCGA-CZ-4861-01	Shallow Deletion	2327.22	NKX2-1: Shallow Deletion
TCGA-CZ-4863-01	Shallow Deletion	1629.71	NKX2-1: Shallow Deletion
TCGA-CZ-4864-01	Shallow Deletion	1693.66	NKX2-1: Shallow Deletion
TCGA-CZ-4866-01	Shallow Deletion	2050.54	NKX2-1: Shallow Deletion
TCGA-CZ-5452-01	Shallow Deletion	2482.39	NKX2-1: Shallow Deletion
TCGA-CZ-5455-01	Shallow Deletion	1855.81	NKX2-1: Shallow Deletion
TCGA-CZ-5456-01	Shallow Deletion	1811.46	NKX2-1: Shallow Deletion
TCGA-CZ-5461-01	Shallow Deletion	2330.88	NKX2-1: Shallow Deletion
TCGA-CZ-5462-01	Shallow Deletion	1427.79	NKX2-1: Shallow Deletion
TCGA-CZ-5463-01	Shallow Deletion	1795.28	NKX2-1: Shallow Deletion
TCGA-CZ-5465-01	Shallow Deletion	4282.06	NKX2-1: Shallow Deletion
TCGA-CZ-5468-01	Shallow Deletion	2021.59	NKX2-1: Shallow Deletion
TCGA-CZ-5469-01	Shallow Deletion	3041.72	NKX2-1: Shallow Deletion
TCGA-CZ-5470-01	Shallow Deletion	2654.02	NKX2-1: Shallow Deletion
TCGA-CZ-5984-01	Shallow Deletion	2186.05	NKX2-1: Shallow Deletion
TCGA-CZ-5985-01	Shallow Deletion	1539.61	NKX2-1: Shallow Deletion
TCGA-CZ-5987-01	Shallow Deletion	1737.13	NKX2-1: Shallow Deletion
TCGA-CZ-5989-01	Shallow Deletion	749.194	NKX2-1: Shallow Deletion
TCGA-DV-A4VX-01	Shallow Deletion	1887.67	NKX2-1: Shallow Deletion
TCGA-G6-A5PC-01	Shallow Deletion	2787.43	NKX2-1: Shallow Deletion
TCGA-MM-A563-01	Shallow Deletion	2197.49	NKX2-1: Shallow Deletion
TCGA-MM-A84U-01	Shallow Deletion	2756.06	NKX2-1: Shallow Deletion
TCGA-2Z-A9JG-01	Shallow Deletion	2549.07	NKX2-1: Shallow Deletion
TCGA-2Z-A9JI-01	Shallow Deletion	2128.08	NKX2-1: Shallow Deletion
TCGA-2Z-A9JK-01	Shallow Deletion	1882.48	NKX2-1: Shallow Deletion
TCGA-5P-A9K3-01	Shallow Deletion	3242.87	NKX2-1: Shallow Deletion
TCGA-5P-A9K8-01	Shallow Deletion	1825.16	NKX2-1: Shallow Deletion
TCGA-5P-A9K9-01	Shallow Deletion	2832.69	NKX2-1: Shallow Deletion
TCGA-A4-7286-01	Shallow Deletion	2618.46	NKX2-1: Shallow Deletion
TCGA-A4-7287-01	Shallow Deletion	1922.45	NKX2-1: Shallow Deletion
TCGA-A4-7583-01	Shallow Deletion	1491.2	NKX2-1: Shallow Deletion
TCGA-A4-7997-01	Shallow Deletion	1516.87	NKX2-1: Shallow Deletion
TCGA-A4-8098-01	Shallow Deletion	1657.61	NKX2-1: Shallow Deletion
TCGA-A4-A5Y1-01	Shallow Deletion	2006.21	NKX2-1: Shallow Deletion
TCGA-AL-3466-01	Shallow Deletion	2259.32	NKX2-1: Shallow Deletion
TCGA-AL-3473-01	Shallow Deletion	2296.16	NKX2-1: Shallow Deletion
TCGA-AL-7173-01	Shallow Deletion	2179.97	NKX2-1: Shallow Deletion
TCGA-B1-7332-01	Shallow Deletion	2245.42	NKX2-1: Shallow Deletion
TCGA-B1-A655-01	Shallow Deletion	2022.38	NKX2-1: Shallow Deletion
TCGA-B3-3926-01	Shallow Deletion	1463.26	NKX2-1: Shallow Deletion
TCGA-B9-4116-01	Shallow Deletion	1892.4	NKX2-1: Shallow Deletion
TCGA-B9-A5W8-01	Shallow Deletion	2054.09	NKX2-1: Shallow Deletion
TCGA-BQ-5876-01	Shallow Deletion	2940.94	NKX2-1: Shallow Deletion
TCGA-BQ-5885-01	Shallow Deletion	2320.53	NKX2-1: Shallow Deletion
TCGA-BQ-5888-01	Shallow Deletion	1789.67	NKX2-1: Shallow Deletion
TCGA-BQ-5889-01	Shallow Deletion	1855.05	NKX2-1: Shallow Deletion
TCGA-BQ-5894-01	Shallow Deletion	1821.16	NKX2-1: Shallow Deletion
TCGA-DW-5560-01	Shallow Deletion	2090.01	NKX2-1: Shallow Deletion
TCGA-DZ-6131-01	Shallow Deletion	2889.68	NKX2-1: Shallow Deletion
TCGA-DZ-6132-01	Shallow Deletion	1674.39	NKX2-1: Shallow Deletion
TCGA-F9-A4JJ-01	Shallow Deletion	1697.34	NKX2-1: Shallow Deletion
TCGA-F9-A7Q0-01	Shallow Deletion	2447.2	NKX2-1: Shallow Deletion
TCGA-G7-6789-01	Shallow Deletion	2556.63	NKX2-1: Shallow Deletion
TCGA-G7-6793-01	Shallow Deletion	1444.38	NKX2-1: Shallow Deletion
TCGA-G7-6796-01	Shallow Deletion	2040.28	NKX2-1: Shallow Deletion
TCGA-G7-7501-01	Shallow Deletion	2635.04	NKX2-1: Shallow Deletion
TCGA-G7-7502-01	Shallow Deletion	1917.43	NKX2-1: Shallow Deletion
TCGA-G7-A8LC-01	Shallow Deletion	2122.65	NKX2-1: Shallow Deletion
TCGA-G7-A8LD-01	Shallow Deletion	1332.9	NKX2-1: Shallow Deletion
TCGA-GL-8500-01	Shallow Deletion	1193.7	NKX2-1: Shallow Deletion
TCGA-HE-7130-01	Shallow Deletion	850.882	NKX2-1: Shallow Deletion
TCGA-HE-A5NK-01	Shallow Deletion	2224.47	NKX2-1: Shallow Deletion
TCGA-IA-A40U-01	Shallow Deletion	1946.79	NKX2-1: Shallow Deletion
TCGA-IA-A40Y-01	Shallow Deletion	1613.26	NKX2-1: Shallow Deletion
TCGA-MH-A854-01	Shallow Deletion	1647.55	NKX2-1: Shallow Deletion
TCGA-P4-A5EA-01	Shallow Deletion	2059.41	NKX2-1: Shallow Deletion
TCGA-PJ-A5Z8-01	Shallow Deletion	1650.73	NKX2-1: Shallow Deletion
TCGA-Q2-A5QZ-01	Shallow Deletion	3457.19	NKX2-1: Shallow Deletion
TCGA-UN-AAZ9-01	Shallow Deletion	1761.75	NKX2-1: Shallow Deletion
TCGA-UZ-A9PN-01	Shallow Deletion	1733.67	NKX2-1: Shallow Deletion
TCGA-WN-A9G9-01	Shallow Deletion	2683.4	NKX2-1: Shallow Deletion
TCGA-CS-4941-01	Shallow Deletion	902.001	NKX2-1: Shallow Deletion
TCGA-CS-6668-01	Shallow Deletion	1114.96	NKX2-1: Shallow Deletion
TCGA-DB-5279-01	Shallow Deletion	908.083	NKX2-1: Shallow Deletion
TCGA-DB-A64L-01	Shallow Deletion	1098.44	NKX2-1: Shallow Deletion
TCGA-DB-A64O-01	Shallow Deletion	1017.46	NKX2-1: Shallow Deletion
TCGA-DH-5140-01	Shallow Deletion	783.215	NKX2-1: Shallow Deletion
TCGA-DH-5142-01	Shallow Deletion	1471.51	NKX2-1: Shallow Deletion
TCGA-DH-5143-01	Shallow Deletion	1443.58	NKX2-1: Shallow Deletion
TCGA-DU-5847-01	Shallow Deletion	1145.38	NKX2-1: Shallow Deletion
TCGA-DU-5852-01	Shallow Deletion	1447.88	NKX2-1: Shallow Deletion
TCGA-DU-6397-01	Shallow Deletion	1286.9	NKX2-1: Shallow Deletion
TCGA-DU-6399-01	Shallow Deletion	1421.95	NKX2-1: Shallow Deletion
TCGA-DU-6402-01	Shallow Deletion	1678.03	NKX2-1: Shallow Deletion
TCGA-DU-7007-01	Shallow Deletion	1283.86	NKX2-1: Shallow Deletion
TCGA-DU-7010-01	Shallow Deletion	945.449	NKX2-1: Shallow Deletion
TCGA-DU-7012-01	Shallow Deletion	1251.74	NKX2-1: Shallow Deletion
